COST_BASIS,AVERAGE_BALANCE_RUB,EXPECTED_ACTIVE_MONTHS,EXPECTED_OPEN_MONTHS,FEE_REVENUE_LTV_RUB,BALANCE_REVENUE_LTV_RUB,SERVICE_COST_LTV_RUB,MARGIN_BEFORE_CAC_RUB,UNIT_MARGIN_AFTER_CAC_RUB,REQUIRED_NEW_CLIENTS_MONTH,IS_UNIT_ECONOMICS_POSITIVE
Только активные месяцы,0,14.734205454471107,22.749557649867832,14734.205454471106,0.0,7367.102727235553,7367.102727235553,2367.102727235553,2113.0,1
Только активные месяцы,25000,14.734205454471107,22.749557649867832,14734.205454471106,3069.6261363481476,7367.102727235553,10436.7288635837,5436.728863583699,920.0,1
Только активные месяцы,50000,14.734205454471107,22.749557649867832,14734.205454471106,6139.252272696295,7367.102727235553,13506.35499993185,8506.35499993185,588.0,1
Только активные месяцы,75000,14.734205454471107,22.749557649867832,14734.205454471106,9208.878409044444,7367.102727235553,16575.98113628,11575.98113628,432.0,1
Только активные месяцы,100000,14.734205454471107,22.749557649867832,14734.205454471106,12278.50454539259,7367.102727235553,19645.607272628145,14645.607272628145,342.0,1
Только активные месяцы,125000,14.734205454471107,22.749557649867832,14734.205454471106,15348.130681740739,7367.102727235553,22715.23340897629,17715.23340897629,283.0,1
Только активные месяцы,150000,14.734205454471107,22.749557649867832,14734.205454471106,18417.75681808889,7367.102727235553,25784.859545324438,20784.859545324438,241.0,1
Только активные месяцы,175000,14.734205454471107,22.749557649867832,14734.205454471106,21487.38295443703,7367.102727235553,28854.485681672584,23854.485681672584,210.0,1
Только активные месяцы,200000,14.734205454471107,22.749557649867832,14734.205454471106,24557.00909078518,7367.102727235553,31924.11181802073,26924.11181802073,186.0,1
Только активные месяцы,225000,14.734205454471107,22.749557649867832,14734.205454471106,27626.635227133327,7367.102727235553,34993.73795436887,29993.737954368873,167.0,1
Только активные месяцы,250000,14.734205454471107,22.749557649867832,14734.205454471106,30696.261363481477,7367.102727235553,38063.364090717034,33063.364090717034,152.0,1
Только активные месяцы,275000,14.734205454471107,22.749557649867832,14734.205454471106,33765.88749982962,7367.102727235553,41132.99022706518,36132.99022706518,139.0,1
Только активные месяцы,300000,14.734205454471107,22.749557649867832,14734.205454471106,36835.51363617778,7367.102727235553,44202.616363413326,39202.616363413326,128.0,1
Только активные месяцы,325000,14.734205454471107,22.749557649867832,14734.205454471106,39905.13977252592,7367.102727235553,47272.24249976147,42272.24249976147,119.0,1
Только активные месяцы,350000,14.734205454471107,22.749557649867832,14734.205454471106,42974.76590887406,7367.102727235553,50341.86863610962,45341.86863610962,111.0,1
Только активные месяцы,375000,14.734205454471107,22.749557649867832,14734.205454471106,46044.392045222216,7367.102727235553,53411.494772457765,48411.494772457765,104.0,1
Только активные месяцы,400000,14.734205454471107,22.749557649867832,14734.205454471106,49114.01818157036,7367.102727235553,56481.12090880591,51481.12090880591,98.0,1
Только активные месяцы,425000,14.734205454471107,22.749557649867832,14734.205454471106,52183.64431791851,7367.102727235553,59550.74704515406,54550.74704515406,92.0,1
Только активные месяцы,450000,14.734205454471107,22.749557649867832,14734.205454471106,55253.270454266654,7367.102727235553,62620.373181502204,57620.373181502204,87.0,1
Только активные месяцы,475000,14.734205454471107,22.749557649867832,14734.205454471106,58322.89659061481,7367.102727235553,65689.99931785036,60689.999317850365,83.0,1
Только активные месяцы,500000,14.734205454471107,22.749557649867832,14734.205454471106,61392.522726962954,7367.102727235553,68759.62545419851,63759.62545419851,79.0,1
Только активные месяцы,525000,14.734205454471107,22.749557649867832,14734.205454471106,64462.1488633111,7367.102727235553,71829.25159054666,66829.25159054666,75.0,1
Только активные месяцы,550000,14.734205454471107,22.749557649867832,14734.205454471106,67531.77499965925,7367.102727235553,74898.8777268948,69898.8777268948,72.0,1
