OPEN_MONTH,TENURE_MONTH,ACCOUNTS,ACTIVE_ACCOUNTS,ACTIVE_RATE
2024-01-01,0,507,266,0.52465483234714
2024-01-01,1,504,345,0.6845238095238095
2024-01-01,2,495,349,0.705050505050505
2024-01-01,3,475,329,0.6926315789473684
2024-01-01,4,465,329,0.7075268817204301
2024-01-01,5,459,315,0.6862745098039216
2024-01-01,6,456,315,0.6907894736842105
2024-01-01,7,453,317,0.6997792494481236
2024-01-01,8,450,313,0.6955555555555556
2024-01-01,9,445,311,0.698876404494382
2024-01-01,10,441,289,0.655328798185941
2024-01-01,11,439,297,0.6765375854214123
2024-01-01,12,430,288,0.6697674418604651
2024-01-01,13,420,290,0.6904761904761905
2024-01-01,14,415,272,0.655421686746988
2024-01-01,15,409,260,0.6356968215158925
2024-01-01,16,405,238,0.5876543209876544
2024-01-01,17,399,243,0.6090225563909775
2024-01-01,18,395,249,0.6303797468354431
2024-01-01,19,386,233,0.6036269430051814
2024-01-01,20,380,227,0.5973684210526315
2024-01-01,21,372,224,0.6021505376344086
2024-01-01,22,367,227,0.6185286103542235
2024-01-01,23,360,229,0.6361111111111111
2024-01-01,24,353,212,0.6005665722379604
2024-01-01,25,342,213,0.6228070175438597
2024-01-01,26,339,225,0.6637168141592921
2024-01-01,27,334,206,0.6167664670658682
2024-01-01,28,332,209,0.6295180722891566
2024-02-01,0,666,379,0.5690690690690691
2024-02-01,1,662,470,0.7099697885196374
2024-02-01,2,632,443,0.7009493670886076
2024-02-01,3,614,422,0.6872964169381107
2024-02-01,4,592,416,0.7027027027027027
2024-02-01,5,587,415,0.706984667802385
2024-02-01,6,576,372,0.6458333333333334
2024-02-01,7,569,382,0.671353251318102
2024-02-01,8,559,378,0.6762075134168157
2024-02-01,9,553,373,0.674502712477396
2024-02-01,10,545,359,0.6587155963302752
2024-02-01,11,531,338,0.6365348399246704
2024-02-01,12,517,330,0.6382978723404256
2024-02-01,13,508,326,0.6417322834645669
2024-02-01,14,498,312,0.6265060240963856
2024-02-01,15,484,292,0.6033057851239669
2024-02-01,16,474,292,0.6160337552742616
2024-02-01,17,466,294,0.630901287553648
2024-02-01,18,457,271,0.5929978118161926
2024-02-01,19,450,273,0.6066666666666667
2024-02-01,20,444,261,0.5878378378378378
2024-02-01,21,439,260,0.592255125284738
2024-02-01,22,430,266,0.6186046511627907
2024-02-01,23,424,242,0.5707547169811321
2024-02-01,24,418,239,0.5717703349282297
2024-02-01,25,411,241,0.5863746958637469
