OPEN_MONTH,ACCOUNTS,UNIQUE_CLIENTS,CLOSED_ACCOUNTS,AVG_OBSERVED_MONTHS,AVG_OBSERVED_ACTIVE_MONTHS,CLIENT_MONTHS,ACTIVE_MONTHS,OBSERVED_ACTIVE_RATE,OBSERVED_CLOSED_SHARE
2024-01-01,507,507,175,23.72189349112426,15.424063116370808,12027,7820,0.65020370832294,0.34516765285996054
2024-02-01,666,666,271,21.47747747747748,13.683183183183184,14304,9113,0.6370945190156599,0.4069069069069069
2024-03-01,678,678,259,21.383480825958703,13.55457227138643,14498,9190,0.6338805352462409,0.38200589970501475
2024-04-01,665,665,257,20.60451127819549,13.186466165413535,13702,8769,0.6399795650270034,0.38646616541353385
2024-05-01,580,580,191,20.201724137931034,13.391379310344828,11717,7767,0.6628829905265853,0.3293103448275862
2024-06-01,593,593,204,19.419898819561553,13.101180438448566,11516,7769,0.6746266064605766,0.3440134907251265
2024-07-01,644,644,199,19.21583850931677,12.81832298136646,12375,8255,0.667070707070707,0.3090062111801242
2024-08-01,663,663,218,18.07390648567119,11.907993966817497,11983,7895,0.6588500375532004,0.3288084464555053
2024-09-01,624,624,195,17.02724358974359,11.51602564102564,10625,7186,0.6763294117647058,0.3125
2024-10-01,712,712,227,16.360955056179776,11.021067415730338,11649,7847,0.6736200532234526,0.3188202247191011
2024-11-01,968,968,255,16.28305785123967,11.09504132231405,15762,10740,0.6813856109630757,0.2634297520661157
2024-12-01,912,912,216,15.80921052631579,10.06578947368421,14418,9180,0.6367041198501873,0.23684210526315788
2025-01-01,617,617,137,14.946515397082658,10.102106969205835,9222,6233,0.67588375623509,0.22204213938411668
2025-02-01,728,728,172,13.93956043956044,9.472527472527473,10148,6896,0.6795427670476941,0.23626373626373626
2025-03-01,702,702,164,13.190883190883191,8.792022792022792,9260,6172,0.6665226781857452,0.2336182336182336
2025-04-01,747,747,161,12.384203480589022,8.366800535475234,9251,6250,0.675602637552697,0.21552878179384202
2025-05-01,647,647,132,11.557959814528594,7.582689335394127,7478,4906,0.6560577694570741,0.20401854714064915
2025-06-01,619,619,117,10.770597738287561,7.080775444264943,6667,4383,0.6574171291435428,0.1890145395799677
2025-07-01,732,732,137,9.868852459016393,6.546448087431694,7224,4792,0.6633444075304541,0.1871584699453552
2025-08-01,627,627,90,9.239234449760765,6.116427432216906,5793,3835,0.6620058691524253,0.14354066985645933
2025-09-01,757,757,111,8.28005284015852,5.557463672391017,6268,4207,0.6711869814932993,0.14663143989431968
2025-10-01,751,751,109,7.402130492676432,5.0079893475366175,5559,3761,0.6765605324698687,0.14513981358189082
2025-11-01,859,859,75,6.692665890570431,4.483119906868452,5749,3851,0.6698556270655767,0.08731082654249127
2025-12-01,933,933,69,5.811361200428725,3.8231511254019295,5422,3567,0.6578753227591295,0.07395498392282958
2026-01-01,573,573,44,4.825479930191972,3.2582897033158815,2765,1867,0.6752260397830018,0.07678883071553229
2026-02-01,685,685,40,3.9051094890510947,2.5328467153284673,2675,1735,0.6485981308411215,0.058394160583941604
2026-03-01,668,668,17,2.970059880239521,1.8982035928143712,1984,1268,0.6391129032258065,0.025449101796407185
2026-04-01,699,699,7,1.9899856938483549,1.1988555078683834,1391,838,0.6024442846872753,0.010014306151645207
2026-05-01,569,569,0,1.0,0.5307557117750439,569,302,0.5307557117750439,0.0
