RECORD_TYPE,SOURCE_ROWS,UNIQUE_CLIENTS,ACCOUNTS,REPEAT_CLIENTS,REPEAT_ACCOUNTS,REPEAT_CLIENT_SHARE,OBSERVATION_START,OBSERVATION_END,OBSERVED_HORIZON_MONTHS,EXPECTED_ACTIVE_MONTHS_TRUNCATED,EXPECTED_OPEN_MONTHS_TRUNCATED,CURRENT_ACTIVE_CLIENTS,CURRENT_MONTHLY_REVENUE_RUB,CURRENT_MONTHLY_SERVICE_COST_RUB,FIXED_COST_RUB_MONTH,CURRENT_MONTHLY_PROFIT_BEFORE_ACQUISITION_RUB,BANK_IS_CURRENTLY_PROFITABLE,LTV_BEFORE_CAC_ZERO_BALANCE_RUB,PAYBACK_MONTHS_ZERO_BALANCE,UNIT_MARGIN_AFTER_CAC_ZERO_BALANCE_RUB,REQUIRED_NEW_CLIENTS_MONTH_ZERO_BALANCE,TENURE_MONTH,ELIGIBLE_ACCOUNTS,OPEN_ACCOUNTS,ACTIVE_ACCOUNTS,SURVIVAL_RATE,ACTIVE_PROBABILITY,ACTIVE_RATE_AMONG_OPEN,IS_RELIABLE_SAMPLE,NET_CONTRIBUTION_ACTIVE_SERVICE_RUB,NET_CONTRIBUTION_ALL_OPEN_SERVICE_RUB,CUM_NET_CONTRIBUTION_ACTIVE_SERVICE_RUB,CUM_NET_CONTRIBUTION_ALL_OPEN_SERVICE_RUB,CUM_MARGIN_AFTER_CAC_ACTIVE_SERVICE_RUB,CUM_MARGIN_AFTER_CAC_ALL_OPEN_SERVICE_RUB,COST_BASIS,AVERAGE_BALANCE_RUB,EXPECTED_ACTIVE_MONTHS,EXPECTED_OPEN_MONTHS,FEE_REVENUE_LTV_RUB,BALANCE_REVENUE_LTV_RUB,SERVICE_COST_LTV_RUB,MARGIN_BEFORE_CAC_RUB,UNIT_MARGIN_AFTER_CAC_RUB,REQUIRED_NEW_CLIENTS_MONTH,IS_UNIT_ECONOMICS_POSITIVE,OPEN_MONTH,ACTIVE_RATE,MONTH,CLOSED_ACCOUNTS,NEW_ACCOUNTS
SUMMARY,252001.0,20000.0,20125.0,122.0,125.0,0.0061,2024-01-01,2026-05-01,29.0,14.734205454471107,22.749557649867832,100000.0,100000000.0,50000000.0,5000000.0,45000000.0,1.0,7367.102727235553,18.0,2367.102727235553,2113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,0.0,20125.0,20125.0,11387.0,1.0,0.5658136645962732,0.5658136645962732,1.0,282.90683229813664,65.81366459627327,282.90683229813664,65.81366459627327,-4717.093167701863,-4934.186335403727,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,1.0,19556.0,19362.0,13445.0,0.9900797709142974,0.6875127838003682,0.6944014048135523,1.0,343.7563919001841,192.47289834321947,626.6632241983207,258.28656293949274,-4373.336775801679,-4741.713437060507,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,2.0,18857.0,18198.0,12731.0,0.9650527655512542,0.6751339025295646,0.6995823716891966,1.0,337.5669512647823,192.60751975393748,964.230175463103,450.8940826934302,-4035.769824536897,-4549.10591730657,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,3.0,18189.0,17096.0,11939.0,0.9399087360492605,0.6563857276375832,0.6983504913430042,1.0,328.1928638187916,186.43135961295292,1292.4230392818945,637.3254423063831,-3707.5769607181055,-4362.674557693617,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,4.0,17504.0,16092.0,11206.0,0.9193327239488117,0.6401965265082267,0.6963708675118071,1.0,320.09826325411336,180.53016453382088,1612.5213025360079,817.855606840204,-3387.478697463992,-4182.144393159796,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,5.0,16931.0,15284.0,10494.0,0.9027228161360817,0.6198098163132715,0.6866003663962313,1.0,309.9049081566357,168.44840824523055,1922.4262106926435,986.3040150854346,-3077.5737893073565,-4013.6959849145655,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,6.0,15998.0,14129.0,9531.0,0.8831728966120765,0.5957619702462807,0.6745700332649162,1.0,297.88098512314036,154.17552194024245,2220.307195815784,1140.479537025677,-2779.692804184216,-3859.520462974323,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,7.0,15139.0,13081.0,8865.0,0.864059713323205,0.5855736838628708,0.6777004816145554,1.0,292.7868419314354,153.5438272012683,2513.0940377472193,1294.0233642269454,-2486.9059622527807,-3705.9766357730546,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,8.0,14388.0,12259.0,8194.0,0.8520294690019461,0.5695023630803447,0.6684068847377437,1.0,284.75118154017235,143.4876285793717,2797.8452192873915,1437.510992806317,-2202.1547807126085,-3562.489007193683,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,9.0,13631.0,11461.0,7703.0,0.8408040495928398,0.5651089428508547,0.6721054009248757,1.0,282.5544714254273,144.7069180544347,3080.399690712819,1582.2179108607518,-1919.600309287181,-3417.7820891392485,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,10.0,13004.0,10748.0,7083.0,0.8265149184866195,0.5446785604429406,0.6590063267584667,1.0,272.3392802214703,131.4211011996308,3352.7389709342892,1713.6390120603826,-1647.2610290657108,-3286.360987939617,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,11.0,12272.0,10007.0,6629.0,0.8154335071707953,0.5401727509778357,0.6624362945937844,1.0,270.08637548891784,132.455997392438,3622.825346423207,1846.0950094528207,-1377.174653576793,-3153.9049905471793,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,12.0,11653.0,9310.0,6142.0,0.7989358963357075,0.5270745730713121,0.6597207303974221,1.0,263.53728653565605,127.60662490345834,3886.3626329588633,1973.701634356279,-1113.6373670411367,-3026.298365643721,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,13.0,11006.0,8639.0,5673.0,0.784935489732873,0.5154461202980193,0.656673226067832,1.0,257.72306014900965,122.97837543158283,4144.085693107873,2096.6800097878618,-855.9143068921267,-2903.3199902121382,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,14.0,10259.0,7925.0,5174.0,0.7724924456574714,0.5043376547421776,0.6528706624605678,1.0,252.1688273710888,118.09143191344191,4396.254520478962,2214.7714417013035,-603.7454795210379,-2785.2285582986965,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,15.0,9557.0,7275.0,4628.0,0.7612221408391755,0.4842523804541174,0.6361512027491409,1.0,242.1261902270587,103.64131003452962,4638.380710706021,2318.412751735833,-361.6192892939789,-2681.587248264167,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,16.0,8829.0,6617.0,4190.0,0.7494620002265262,0.4745724317589761,0.6332174701526372,1.0,237.28621587948805,99.84143164571299,4875.666926585509,2418.2541833815458,-124.33307341449108,-2581.7458166184542,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,17.0,8212.0,6058.0,3828.0,0.7377009254749147,0.4661471018022406,0.6318917134367779,1.0,233.0735509011203,97.29663906478328,5108.740477486629,2515.550822446329,108.74047748662906,-2484.449177553671,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,18.0,7300.0,5272.0,3377.0,0.7221917808219178,0.4626027397260274,0.6405538694992413,1.0,231.3013698630137,101.50684931506845,5340.041847349643,2617.0576717613976,340.0418473496429,-2382.9423282386024,,,,,,,,,,,,,,,,
TENURE,,,,,,,,,,,,,,,,,,,,,,19.0,6332.0,4479.0,2816.0,0.7073594440934934,0.44472520530638027,0.6287117660192008,1.0,222.36260265319012,91.04548325963356,5562.404450002833,2708.103155021031,562.4044500028331,-2291.896844978969,,,,,,,,,,,,,,,,
