MONTH,OPEN_ACCOUNTS,ACTIVE_ACCOUNTS,CLOSED_ACCOUNTS,NEW_ACCOUNTS,ACTIVE_RATE
2024-01-01,507,266,3,507,0.52465483234714
2024-02-01,1170,724,13,666,0.6188034188034188
2024-03-01,1835,1220,59,678,0.6648501362397821
2024-04-01,2441,1586,53,665,0.6497337156902908
2024-05-01,2968,1981,69,580,0.6674528301886793
2024-06-01,3492,2369,73,593,0.6784077892325315
2024-07-01,4063,2796,64,644,0.6881614570514398
2024-08-01,4662,3166,78,663,0.6791076791076791
2024-09-01,5208,3581,108,624,0.6875960061443932
2024-10-01,5812,3962,106,712,0.6816930488644184
2024-11-01,6674,4446,116,968,0.6661672160623314
2024-12-01,7470,5143,181,912,0.688487282463186
2025-01-01,7906,5241,148,617,0.6629142423475841
2025-02-01,8486,5645,177,728,0.6652132924817347
2025-03-01,9011,6014,175,702,0.667406503162801
2025-04-01,9583,6441,182,747,0.6721277261817802
2025-05-01,10048,6635,153,647,0.6603304140127388
2025-06-01,10514,7037,148,619,0.66929807875214
2025-07-01,11098,7405,183,732,0.6672373400612723
2025-08-01,11542,7587,189,627,0.6573384162190261
2025-09-01,12110,7953,235,757,0.6567299752270851
2025-10-01,12626,8337,241,751,0.660304134325994
2025-11-01,13244,8563,194,859,0.6465569314406524
2025-12-01,13983,9442,286,933,0.6752485160552099
2026-01-01,14270,9077,255,573,0.6360896986685354
2026-02-01,14700,9441,237,685,0.6422448979591837
2026-03-01,15131,9876,259,668,0.6526997554689049
2026-04-01,15571,10181,264,699,0.653843683771113
2026-05-01,15876,10279,0,569,0.6474552784076594
